Table 1
Player,Nation,Pos,Squad,Min,Gls▼,Ast,Gls,Ast,xG,xA,xG,xA
Luis Muriel\eb2fe5b6,co COL,FWMF,it Atalanta,132,1,0,0.68,0.00,0.4,0.0,0.25,0.03
Jamal Musiala\2c0558b8,de GER,FWMF,de Bayern Munich,213,1,1,0.42,0.42,0.6,0.0,0.25,0.00
David Neres\4f1e6a0b,br BRA,FW,nl Ajax,205,1,0,0.44,0.00,0.9,0.7,0.38,0.29
Moumi Ngamaleu\0193a8bf,cm CMR,MFFW,ch Young Boys,531,1,1,0.17,0.17,1.0,0.9,0.16,0.16
Boban Nikolov\35862524,mk MKD,MF,md Sheriff Tiraspol,99,1,0,0.91,0.00,0.6,0.0,0.57,0.01
Lucas Ocampos\a08b974a,ar ARG,FW,es Sevilla,461,1,1,0.20,0.20,1.0,0.9,0.20,0.17
Sérgio Oliveira\947e036f,pt POR,MF,pt Porto,298,1,0,0.30,0.00,0.8,0.5,0.25,0.14
Divock Origi\43a166b4,be BEL,FW,eng Liverpool,176,1,1,0.51,0.51,0.6,0.4,0.33,0.22
Magomed Ozdoyev\3ef0af0d,ru RUS,MF,ru Zenit,12,1,0,7.50,0.00,0.1,0.0,0.45,0.00
Cole Palmer\dc7f8a28,eng ENG,MFFW,eng Manchester City,42,1,0,2.14,0.00,0.4,0.0,0.92,0.09
Daniel Parejo\7460ca0d,es ESP,MF,es Villarreal,628,1,2,0.14,0.29,0.4,1.4,0.06,0.21
Mario Pašalić\e599253a,hr CRO,MFFW,it Atalanta,219,1,1,0.41,0.41,0.7,0.3,0.29,0.11
Matteo Pessina\780e3631,it ITA,MFFW,it Atalanta,211,1,0,0.43,0.00,0.9,0.1,0.40,0.06
Yeremi Pino\540ec57b,es ESP,MFDF,es Villarreal,362,1,0,0.25,0.00,0.6,0.2,0.16,0.04
Gerard Piqué\adfc9123,es ESP,DF,es Barcelona,392,1,0,0.23,0.00,0.3,0.0,0.07,0.00
Pedro Porro\27d0a506,es ESP,DF,pt Sporting CP,447,1,0,0.20,0.00,0.6,0.6,0.12,0.13
Christian Pulisic\1bf33a9a,us USA,FWDF,eng Chelsea,192,1,1,0.47,0.47,0.3,0.5,0.16,0.22
Yaroslav Rakitskiy\47fd5136,ua UKR,DF,ru Zenit,494,1,2,0.18,0.36,1.0,0.3,0.18,0.05
Marcus Rashford\a1d5bd30,eng ENG,FWMF,eng Manchester Utd,232,1,0,0.39,0.00,0.7,0.0,0.28,0.00
Ante Rebić\536cebe5,hr CRO,FW,it Milan,115,1,0,0.78,0.00,0.6,0.5,0.44,0.39
Fabian Rieder\c2bd8585,ch SUI,MFFW,ch Young Boys,272,1,1,0.33,0.33,0.6,0.3,0.21,0.09
Søren Rieks\572498c7,dk DEN,DF,se Malmö,220,1,0,0.41,0.00,0.3,0.0,0.11,0.00
Alexis Sánchez\2c0f8e9e,cl CHI,FW,it Inter,97,1,0,0.93,0.00,0.1,0.1,0.14,0.12
Jadon Sancho\dbf053da,eng ENG,FW,eng Manchester Utd,302,1,0,0.30,0.00,0.7,0.1,0.22,0.03
Alex Sandro\0d82903c,br BRA,DF,it Juventus,552,1,0,0.16,0.00,0.5,0.2,0.08,0.04
Nuno Santos\a6ee4f55,pt POR,FWMF,pt Sporting CP,207,1,0,0.43,0.00,0.4,0.5,0.19,0.21
