Table 1
Player,Nation,Pos,Squad,Min,Gls▼,Ast,Gls,Ast,xG,xA,xG,xA
Valentino Lazaro\016ff750,at AUT,DF,pt Benfica,116,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Jordan Lefort\c3e4ecbb,fr FRA,DF,ch Young Boys,167,0,0,0.00,0.00,0.0,0.4,0.02,0.19
Thomas Lemar\4dbd0916,fr FRA,MF,es Atlético Madrid,284,0,1,0.00,0.32,0.3,0.2,0.09,0.06
Clément Lenglet\4f28a6ff,fr FRA,DF,es Barcelona,343,0,0,0.00,0.00,0.4,0.0,0.10,0.00
Oscar Lewicki\0c09c984,se SWE,MF,se Malmö,124,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Bohdan Liedniev\b1dae700,ua UKR,MF,ua Dynamo Kyiv,10,0,0,0.00,0.00,0.0,0.2,0.00,1.92
Matthijs de Ligt\d6e53a3a,nl NED,DF,it Juventus,535,0,0,0.00,0.00,0.1,0.0,0.01,0.00
Isaac Lihadji\57a46f3f,fr FRA,MF,fr Lille,25,0,0,0.00,0.00,0.0,0.0,0.00,0.07
Victor Lindelöf\f5deef4c,se SWE,DF,eng Manchester Utd,425,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Jesse Lingard\810e3c74,eng ENG,MFFW,eng Manchester Utd,118,0,1,0.00,0.76,0.2,0.8,0.18,0.58
Marcos Llorente\02c15616,es ESP,DFMF,es Atlético Madrid,461,0,0,0.00,0.00,0.1,0.7,0.02,0.14
Giovani Lo Celso\d7553721,ar ARG,FW,es Villarreal,90,0,0,0.00,0.00,0.3,0.0,0.34,0.02
Manuel Locatelli\a8a874f1,it ITA,MF,it Juventus,452,0,0,0.00,0.00,0.2,0.5,0.05,0.11
Renan Lodi\ed9f7cfe,br BRA,DF,es Atlético Madrid,233,0,2,0.00,0.77,0.1,0.6,0.03,0.22
Ruben Loftus-Cheek\e97fd090,eng ENG,MF,eng Chelsea,214,0,1,0.00,0.42,0.3,0.9,0.12,0.38
Matteo Lovato\5fa57166,it ITA,DF,it Atalanta,45,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Dejan Lovren\1a2935f6,hr CRO,DF,ru Zenit,315,0,0,0.00,0.00,0.1,0.0,0.02,0.01
Dodi Lukebakio\0c61c77c,be BEL,FWMF,de Wolfsburg,299,0,0,0.00,0.00,0.1,0.5,0.03,0.15
Fabian Lustenberger\a63a995f,ch SUI,DF,ch Young Boys,90,0,0,0.00,0.00,0.1,0.0,0.07,0.00
Quentin Maceiras\6c330f30,ch SUI,DF,ch Young Boys,115,0,0,0.00,0.00,0.2,0.1,0.12,0.04
Nico Maier\7ea03b7d,ch SUI,FW,ch Young Boys,4,0,0,0.00,0.00,0.0,0.0,0.89,0.00
Mike Maignan\fcb38f57,fr FRA,GK,it Milan,270,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Malcom\6853490f,br BRA,FWMF,ru Zenit,432,0,1,0.00,0.21,0.8,1.7,0.17,0.35
Daniel Maldini\801831fe,it ITA,FW,it Milan,23,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Felix Mambimbi\1b81794d,ch SUI,FWMF,ch Young Boys,63,0,0,0.00,0.00,0.1,0.0,0.09,0.00
Reinildo Mandava\c20bdcd7,mz MOZ,DF,es Atlético Madrid,90,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Reinildo Mandava\c20bdcd7,mz MOZ,DF,fr Lille,457,0,0,0.00,0.00,0.0,0.1,0.00,0.02
Aïssa Mandi\fbd6378b,dz ALG,DF,es Villarreal,26,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Faitout Maouassa\e54a9890,fr FRA,MF,be Club Brugge,1,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Iván Marcano\7a20d90a,es ESP,DF,pt Porto,127,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Marcelo\603116a7,br BRA,DF,es Real Madrid,53,0,0,0.00,0.00,0.1,0.0,0.11,0.00
José María Giménez\f0da930c,uy URU,DF,es Atlético Madrid,495,0,0,0.00,0.00,0.3,0.0,0.05,0.00
Mariano\5c4dc0ff,do DOM,FW,es Real Madrid,13,0,0,0.00,0.00,0.0,0.0,0.00,0.00
João Mário Lopes\82a39b66,pt POR,DF,pt Porto,350,0,0,0.00,0.00,0.0,0.3,0.00,0.07
João Mário\f0021247,pt POR,MF,pt Benfica,460,0,3,0.00,0.59,0.4,0.9,0.07,0.18
Marlon\cdf65d12,br BRA,DF,ua Shakhtar,450,0,0,0.00,0.00,0.1,0.0,0.03,0.00
Marlos\9139bb12,ua UKR,FWMF,ua Shakhtar,209,0,0,0.00,0.00,0.3,0.9,0.12,0.38
Marquinhos\d5f2f82b,br BRA,DF,fr Paris S-G,630,0,1,0.00,0.14,0.0,0.5,0.00,0.07
Anthony Martial\8b788c01,fr FRA,FW,eng Manchester Utd,67,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Josep Martinez\11d8aff0,es ESP,GK,de RB Leipzig,90,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Lautaro Martínez\f7036e1c,ar ARG,FW,it Inter,506,0,0,0.00,0.00,2.3,1.2,0.40,0.21
Lisandro Martínez\bac46a10,ar ARG,DF,nl Ajax,630,0,1,0.00,0.14,0.6,0.4,0.09,0.05
Toni Martínez\f3945e07,es ESP,FW,pt Porto,146,0,0,0.00,0.00,0.0,0.0,0.02,0.00
Christopher Martins\0e96a5e1,lu LUX,MF,ch Young Boys,417,0,0,0.00,0.00,0.1,0.3,0.03,0.06
Clinton Mata\55abe554,ao ANG,DF,be Club Brugge,527,0,0,0.00,0.00,0.1,0.4,0.02,0.06
Juan Mata\29733c72,es ESP,MF,eng Manchester Utd,89,0,0,0.00,0.00,0.3,0.0,0.29,0.00
Nemanja Matić\eb7822d7,rs SRB,MFDF,eng Manchester Utd,176,0,0,0.00,0.00,0.0,0.0,0.01,0.00
Joël Matip\b217ef29,cm CMR,DF,eng Liverpool,450,0,0,0.00,0.00,0.3,0.0,0.05,0.00
Mykola Matviyenko\1adcf39e,ua UKR,DF,ua Shakhtar,360,0,0,0.00,0.00,0.1,0.0,0.03,0.00
Maycon\005ca692,br BRA,MF,ua Shakhtar,474,0,0,0.00,0.00,0.2,0.4,0.04,0.08
Noussair Mazraoui\b74277a0,ma MAR,DF,nl Ajax,567,0,2,0.00,0.32,0.5,1.0,0.09,0.15
Kevin Mbabu\493924a7,ch SUI,DF,de Wolfsburg,328,0,0,0.00,0.00,0.0,0.1,0.01,0.02
Noah Mbamba\e75129bd,be BEL,MF,be Club Brugge,58,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Chancel Mbemba\e76cb9cc,cd COD,DF,pt Porto,449,0,0,0.00,0.00,0.1,0.0,0.02,0.01
Weston McKennie\01c3aff5,us USA,MF,it Juventus,389,0,0,0.00,0.00,1.2,0.3,0.28,0.06
Scott McTominay\d93c2511,sct SCO,MF,eng Manchester Utd,331,0,0,0.00,0.00,0.4,0.0,0.10,0.00
Brandon Mechele\0a6dbbf7,be BEL,DF,be Club Brugge,133,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Soualiho Meïté\5cec2c74,fr FRA,MF,pt Benfica,90,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Arthur Melo\48b3dd60,br BRA,MF,it Juventus,178,0,0,0.00,0.00,0.1,0.1,0.06,0.06
Nuno Mendes\f20e4cc9,pt POR,DF,fr Paris S-G,490,0,0,0.00,0.00,0.1,0.5,0.02,0.09
Edouard Mendy\33887998,sn SEN,GK,eng Chelsea,540,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Ferland Mendy\3cefcaef,fr FRA,DF,es Real Madrid,397,0,1,0.00,0.23,0.0,0.3,0.01,0.06
Teden Mengi\91748070,eng ENG,DF,eng Manchester Utd,30,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Umut Meraş\c8112d1e,tr TUR,DF,tr Beşiktaş,252,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Thomas Meunier\e162b013,be BEL,DF,de Dortmund,483,0,1,0.00,0.19,0.2,0.2,0.04,0.04
Simon Mignolet\d436eb94,be BEL,GK,be Club Brugge,540,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Éder Militão\2784f898,br BRA,DF,es Real Madrid,626,0,0,0.00,0.00,0.5,0.0,0.07,0.00
James Milner\2f90f6b8,eng ENG,MFDF,eng Liverpool,148,0,1,0.00,0.61,0.0,0.9,0.02,0.52
Takumi Minamino\f833a830,jp JPN,FWMF,eng Liverpool,217,0,0,0.00,0.00,0.1,0.1,0.02,0.04
Óscar Mingueza\056269d7,es ESP,DF,es Barcelona,222,0,0,0.00,0.00,0.0,0.2,0.00,0.10
Aleksei Miranchuk\a9aa0d1d,ru RUS,FWMF,it Atalanta,35,0,1,0.00,2.57,0.0,0.4,0.07,0.94
Fabio Miretti\34693494,it ITA,MF,it Juventus,1,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Luka Modrić\6025fab1,hr CRO,MF,es Real Madrid,532,0,1,0.00,0.17,0.8,1.1,0.14,0.18
Kudus Mohammed\b62878a5,gh GHA,MF,nl Ajax,24,0,0,0.00,0.00,0.1,0.0,0.52,0.00
Niklas Moisander\00844823,fi FIN,DF,se Malmö,188,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Gonzalo Montiel\374d5158,ar ARG,DF,es Sevilla,187,0,0,0.00,0.00,0.1,0.0,0.05,0.01
Wesley Moraes\bfae110f,br BRA,FW,be Club Brugge,28,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Ilaix Moriba\f4c69aa6,gn GUI,MFFW,de RB Leipzig,63,0,0,0.00,0.00,0.2,0.4,0.25,0.59
Tyler Morton\2bc28bb9,eng ENG,MF,eng Liverpool,180,0,0,0.00,0.00,0.0,0.0,0.00,0.01
Andrei Mostovoy\dfb50e5c,ru RUS,FWMF,ru Zenit,152,0,0,0.00,0.00,0.3,0.1,0.16,0.08
Youssoufa Moukoko\6ce43701,de GER,FW,de Dortmund,21,0,0,0.00,0.00,0.2,0.0,0.65,0.00
Mason Mount\9674002f,eng ENG,FWMF,eng Chelsea,284,0,0,0.00,0.00,0.5,0.7,0.14,0.22
Mykhailo Mudryk\049a888d,ua UKR,FW,ua Shakhtar,182,0,0,0.00,0.00,0.6,0.7,0.31,0.33
Juan Musso\a111cf41,ar ARG,GK,it Atalanta,540,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Vitaliy Mykolenko\30d4a2e5,ua UKR,DF,ua Dynamo Kyiv,450,0,0,0.00,0.00,0.1,0.0,0.02,0.00
Joakim Mæhle\c459a650,dk DEN,DF,it Atalanta,435,0,1,0.00,0.21,0.1,0.1,0.01,0.02
Georges-Kévin N'Koudou\76c131da,fr FRA,FW,tr Beşiktaş,90,0,0,0.00,0.00,0.0,0.2,0.03,0.21
Fabrice N'Sakala\de85e3cc,cd COD,DF,tr Beşiktaş,270,0,0,0.00,0.00,0.0,0.0,0.01,0.01
Stanley N'Soki\61590953,fr FRA,DF,be Club Brugge,483,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Nacho\2946f9a1,es ESP,DF,es Real Madrid,206,0,0,0.00,0.00,0.2,0.1,0.08,0.04
Adi Nalic\ad597bf7,ba BIH,MFFW,se Malmö,88,0,0,0.00,0.00,0.0,0.1,0.00,0.07
Sebastian Nanasi\ce747d2a,se SWE,FWMF,se Malmö,89,0,0,0.00,0.00,0.1,0.0,0.08,0.03
Jesús Navas\3f10bd22,es ESP,DF,es Sevilla,330,0,0,0.00,0.00,0.0,0.6,0.01,0.16
Keylor Navas\ecada4fc,cr CRC,GK,fr Paris S-G,270,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Flávio Nazinho\e7281ea9,pt POR,DF,pt Sporting CP,21,0,0,0.00,0.00,0.0,0.0,0.13,0.00
Luís Neto\953597a1,pt POR,DF,pt Sporting CP,280,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Manuel Neuer\8778c910,de GER,GK,de Bayern Munich,540,0,1,0.00,0.17,0.0,0.3,0.00,0.05
Neymar\69384e5d,br BRA,FW,fr Paris S-G,379,0,1,0.00,0.24,1.0,0.7,0.23,0.16
Lasse Nielsen\06e5b0e4,dk DEN,DF,se Malmö,450,0,0,0.00,0.00,0.1,0.0,0.01,0.00
Saúl Ñíguez\c14bc029,es ESP,MFDF,eng Chelsea,146,0,0,0.00,0.00,0.5,0.0,0.31,0.02
Rasmus Nissen\39769cff,dk DEN,DF,at RB Salzburg,630,0,1,0.00,0.14,0.4,0.0,0.06,0.00
Hugo Novoa\5458f670,es ESP,FW,de RB Leipzig,25,0,1,0.00,3.60,0.2,0.3,0.88,0.97
Matheus Nunes\e6af02e0,pt POR,MF,pt Sporting CP,508,0,2,0.00,0.35,0.0,0.5,0.01,0.08
Jan Oblak\ee8508c0,si SVN,GK,es Atlético Madrid,630,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Dani Olmo\ae44e8e2,es ESP,MF,de RB Leipzig,88,0,1,0.00,1.02,0.0,0.1,0.02,0.12
Martin Olsson\2f72f79e,se SWE,DF,se Malmö,288,0,0,0.00,0.00,0.0,0.1,0.01,0.02
Amadou Onana\828657ff,be BEL,MFFW,fr Lille,227,0,0,0.00,0.00,0.1,0.0,0.05,0.02
André Onana\e9c0c1b2,cm CMR,GK,nl Ajax,90,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Jérôme Onguéné\e81f0356,cm CMR,DF,at RB Salzburg,436,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Willi Orban\20030c06,hu HUN,DF,de RB Leipzig,315,0,0,0.00,0.00,0.0,0.0,0.00,0.01
Nicolás Otamendi\0d267745,ar ARG,DF,pt Benfica,540,0,0,0.00,0.00,0.1,0.2,0.02,0.03
Otávio\28b1f3ce,pt POR,MF,pt Porto,447,0,0,0.00,0.00,1.2,0.8,0.24,0.17
Paulo Otávio\1cbe4984,br BRA,DF,de Wolfsburg,171,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,eng Liverpool,301,0,1,0.00,0.30,0.7,0.1,0.22,0.04
Oğuzhan Özyakup\d8c679be,tr TUR,MF,tr Beşiktaş,53,0,0,0.00,0.00,0.0,0.2,0.00,0.33
Gavi Paez\19cae58d,es ESP,MFFW,es Barcelona,397,0,0,0.00,0.00,0.6,0.0,0.14,0.01
João Palhinha\a78ff07f,pt POR,MF,pt Sporting CP,533,0,0,0.00,0.00,0.1,0.0,0.02,0.00
Leandro Paredes\dff153a4,ar ARG,MF,fr Paris S-G,245,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Felix Passlack\5c899683,de GER,DF,de Dortmund,62,0,0,0.00,0.00,0.0,0.0,0.04,0.00
Remko Pasveer\3392603d,nl NED,GK,nl Ajax,540,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Alan Patrick\00672021,br BRA,MF,ua Shakhtar,266,0,1,0.00,0.34,0.3,0.6,0.11,0.20
Benjamin Pavard\45a03961,fr FRA,DF,de Bayern Munich,512,0,1,0.00,0.18,0.3,0.2,0.05,0.03
Alfonso Pedraza\63f04c6c,es ESP,DF,es Villarreal,333,0,1,0.00,0.27,0.4,1.4,0.10,0.37
Pedri\0d9b2d31,es ESP,MF,es Barcelona,157,0,0,0.00,0.00,0.0,0.0,0.01,0.01
Pedrinho\6796e284,br BRA,MFFW,ua Shakhtar,342,0,0,0.00,0.00,0.8,0.4,0.21,0.11
Luca Pellegrini\3b61c9ec,it ITA,DF,it Juventus,4,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Carlos de Pena\6b915aa1,uy URU,FWMF,ua Dynamo Kyiv,373,0,0,0.00,0.00,0.3,0.3,0.08,0.08
Rubén Peña\1f079188,es ESP,MFFW,es Villarreal,18,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Sergio Peña\eda8506a,pe PER,MFFW,se Malmö,280,0,0,0.00,0.00,0.1,0.2,0.03,0.06
Pepe\c906ce0f,pt POR,DF,pt Porto,347,0,0,0.00,0.00,0.1,0.5,0.03,0.13
Pepê\fc4e7637,br BRA,FWMF,pt Porto,37,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Danilo Pereira\8fd9996f,pt POR,MF,fr Paris S-G,282,0,0,0.00,0.00,0.3,0.0,0.08,0.00
Mattia Perin\4c62d0c8,it ITA,GK,it Juventus,90,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Ivan Perišić\6fe90922,hr CRO,DF,it Inter,440,0,1,0.00,0.20,0.9,1.3,0.19,0.26
Pavao Pervan\c89e8aae,at AUT,GK,de Wolfsburg,90,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Giuseppe Pezzella\149c5f5d,it ITA,DFMF,it Atalanta,58,0,0,0.00,0.00,0.0,0.0,0.06,0.00
Maximilian Philipp\061e8e23,de GER,MFFW,de Wolfsburg,90,0,0,0.00,0.00,0.1,0.0,0.09,0.00
Nathaniel Phillips\515ebe8d,eng ENG,DF,eng Liverpool,91,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Kamil Piątkowski\2cf496fb,pl POL,DF,at RB Salzburg,40,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Pizzi\96094cbc,pt POR,FWMF,pt Benfica,158,0,0,0.00,0.00,0.4,0.1,0.20,0.04
Miralem Pjanić\ad6df2d5,ba BIH,MF,tr Beşiktaş,260,0,2,0.00,0.69,0.1,1.2,0.04,0.40
Paul Pogba\867239d3,fr FRA,MFFW,eng Manchester Utd,322,0,0,0.00,0.00,0.1,0.2,0.02,0.06
Marin Pongračić\2a6cd437,hr CRO,DF,de Dortmund,174,0,0,0.00,0.00,0.0,0.0,0.00,0.01
Yussuf Poulsen\d2416c2e,dk DEN,FW,de RB Leipzig,149,0,1,0.00,0.60,0.4,0.2,0.23,0.14
Riqui Puig\f090a37a,es ESP,MF,es Barcelona,18,0,0,0.00,0.00,0.0,0.0,0.00,0.11
Andriy Pyatov\34c3b935,ua UKR,GK,ua Shakhtar,265,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Dani Raba\ea6a7ab4,es ESP,DFFW,es Villarreal,12,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Adrien Rabiot\8794e251,fr FRA,MF,it Juventus,446,0,0,0.00,0.00,0.2,0.0,0.05,0.00
Stjepan Radeljić\30e03a25,ba BIH,DFMF,md Sheriff Tiraspol,81,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Nemanja Radonjić\0630eb63,rs SRB,FW,pt Benfica,32,0,0,0.00,0.00,0.0,0.0,0.09,0.00
Erdal Rakip\e150254d,mk MKD,MF,se Malmö,272,0,0,0.00,0.00,0.1,0.0,0.02,0.00
Eric Ramírez\b9f92e76,ve VEN,FWMF,ua Dynamo Kyiv,18,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Gonçalo Ramos\f63cda26,pt POR,MFFW,pt Benfica,119,0,1,0.00,0.76,0.8,0.0,0.59,0.00
Aaron Ramsey\ef619b0b,wls WAL,MFFW,it Juventus,16,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Andrea Ranocchia\539230cf,it ITA,DF,it Inter,100,0,0,0.00,0.00,0.4,0.0,0.40,0.00
Reinier\6b21b7b5,br BRA,MFFW,de Dortmund,126,0,0,0.00,0.00,0.1,0.5,0.10,0.35
Matheus Reis\ae1159bf,br BRA,DF,pt Sporting CP,517,0,0,0.00,0.00,0.1,0.1,0.02,0.01
Karim Rekik\3376a776,nl NED,DF,es Sevilla,125,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Devyne Rensch\c5cbbcff,nl NED,DF,nl Ajax,75,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Federico Ricca\54f5ce34,uy URU,DF,be Club Brugge,166,0,0,0.00,0.00,0.1,0.0,0.07,0.00
Omar Richards\f9b1b7bf,eng ENG,DFFW,de Bayern Munich,56,0,0,0.00,0.00,0.0,0.0,0.00,0.05
Sergi Roberto\335fa267,es ESP,DFFW,es Barcelona,168,0,0,0.00,0.00,0.1,0.2,0.07,0.11
Andrew Robertson\2e4f5f03,sct SCO,DF,eng Liverpool,388,0,1,0.00,0.23,0.2,1.2,0.04,0.28
Marc Roca\da27e268,es ESP,MF,de Bayern Munich,55,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Rodri\6434f10d,es ESP,MF,eng Manchester City,470,0,0,0.00,0.00,0.1,0.1,0.02,0.02
Óscar Rodríguez Arnaiz\19709006,es ESP,MF,es Sevilla,23,0,0,0.00,0.00,0.0,0.0,0.04,0.00
Alessio Romagnoli\3ead85f9,it ITA,DF,it Milan,393,0,1,0.00,0.23,0.0,0.0,0.01,0.01
Iván Romero\2fbe6af0,es ESP,FW,es Sevilla,21,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Marten de Roon\2a1beb34,nl NED,MFDF,it Atalanta,482,0,0,0.00,0.00,0.1,0.1,0.01,0.02
Valentin Rosier\9b6d9b53,fr FRA,DF,tr Beşiktaş,405,0,0,0.00,0.00,0.0,0.1,0.01,0.02
Jérôme Roussillon\13203c45,fr FRA,DF,de Wolfsburg,361,0,0,0.00,0.00,0.0,0.0,0.01,0.00
Antonio Rüdiger\18b896d6,de GER,DF,eng Chelsea,540,0,0,0.00,0.00,0.3,0.1,0.05,0.01
Daniele Rugani\14b8fcdf,it ITA,DF,it Juventus,101,0,0,0.00,0.00,0.0,0.0,0.03,0.00
Gerónimo Rulli\625c144a,ar ARG,GK,es Villarreal,630,0,0,0.00,0.00,0.0,0.1,0.00,0.01
Serdar Saatçı\760fd987,tr TUR,DF,tr Beşiktaş,90,0,0,0.00,0.00,0.1,0.0,0.13,0.00
Marcel Sabitzer\e280527c,at AUT,MF,de Bayern Munich,136,0,0,0.00,0.00,0.4,0.2,0.28,0.11
Alexis Saelemaekers\ee251371,be BEL,FW,it Milan,443,0,0,0.00,0.00,0.2,0.1,0.04,0.02
Renato Sanches\032f894e,pt POR,MFFW,fr Lille,404,0,0,0.00,0.00,0.4,0.3,0.09,0.07
Cisse Sandra\2f33776f,be BEL,FW,be Club Brugge,55,0,0,0.00,0.00,0.3,0.0,0.50,0.00
Douglas Santos\c50e5bba,br BRA,DF,ru Zenit,443,0,2,0.00,0.41,0.1,1.2,0.03,0.25
Zaidu Sanusi\24051310,ng NGA,DF,pt Porto,387,0,0,0.00,0.00,0.0,0.2,0.01,0.05
Bouna Sarr\1a4b9094,sn SEN,DFFW,de Bayern Munich,83,0,0,0.00,0.00,0.2,0.0,0.22,0.00
Malang Sarr\4315f30d,fr FRA,DF,eng Chelsea,101,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Charlie Savage\e07398f8,wls WAL,MF,eng Manchester Utd,2,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Stefan Savić\f6ac68c1,me MNE,DF,es Atlético Madrid,180,0,0,0.00,0.00,0.0,0.1,0.00,0.05
Nico Schulz\fa274d97,de GER,DF,de Dortmund,196,0,1,0.00,0.46,0.0,0.4,0.00,0.20
Perr Schuurs\e613313c,nl NED,DF,nl Ajax,145,0,1,0.00,0.62,0.1,0.4,0.03,0.23
Haris Seferović\a45eac1f,ch SUI,FW,pt Benfica,10,0,0,0.00,0.00,0.6,0.0,5.61,0.00
Nicolas Seiwald\28c6e925,at AUT,MF,at RB Salzburg,601,0,1,0.00,0.15,0.1,0.9,0.02,0.14
Stefano Sensi\b70bde8f,it ITA,MF,it Inter,11,0,0,0.00,0.00,0.1,0.0,1.16,0.00
Javier Serrano\0a8fd9cb,es ESP,MF,es Atlético Madrid,16,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Benjamin Šeško\3260690c,si SVN,FW,at RB Salzburg,206,0,0,0.00,0.00,0.3,0.1,0.15,0.02
Artem Shabanov\52e101a8,ua UKR,DF,ua Dynamo Kyiv,90,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Mykola Shaparenko\17e3e467,ua UKR,MF,ua Dynamo Kyiv,485,0,0,0.00,0.00,0.6,0.2,0.12,0.05
Luke Shaw\9c94165b,eng ENG,DF,eng Manchester Utd,396,0,2,0.00,0.45,0.1,0.3,0.02,0.06
Volodymyr Shepelyev\a81ed730,ua UKR,MF,ua Dynamo Kyiv,55,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Oleksiy Shevchenko\e1d4f20d,ua UKR,GK,ua Shakhtar,5,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Ilya Shkurin\b37c0a9f,by BLR,FW,ua Dynamo Kyiv,103,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Shola Shoretire\00f0482f,eng ENG,MF,eng Manchester Utd,23,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Cristiano da Silva Leite\2567b7b6,br BRA,DF,md Sheriff Tiraspol,540,0,3,0.00,0.50,0.4,0.5,0.07,0.08
Bruno Felipe Souza da Silva\0eb83e1a,br BRA,FWMF,md Sheriff Tiraspol,314,0,0,0.00,0.00,0.3,0.5,0.07,0.14
Thiago Silva\86e7deaf,br BRA,DF,eng Chelsea,458,0,1,0.00,0.20,0.3,0.1,0.07,0.03
Mohamed Simakan\fcb27134,fr FRA,DF,de RB Leipzig,295,0,0,0.00,0.00,0.0,0.1,0.01,0.03
Roko Simic\a086ae11,hr CRO,FW,at RB Salzburg,5,0,0,0.00,0.00,0.0,0.0,0.74,0.00
Islam Slimani\ffec9769,dz ALG,FW,pt Sporting CP,16,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Everton Soares\b1cbc666,br BRA,FWMF,pt Benfica,298,0,0,0.00,0.00,0.5,0.5,0.16,0.15
Eduard Sobol\2ccd89a3,ua UKR,DF,be Club Brugge,329,0,1,0.00,0.27,0.1,0.2,0.01,0.06
Oumar Solet\0670ee51,fr FRA,DF,at RB Salzburg,284,0,0,0.00,0.00,0.0,0.0,0.01,0.00
Manor Solomon\886f9aac,il ISR,FWMF,ua Shakhtar,322,0,0,0.00,0.00,0.4,0.5,0.12,0.15
Josef de Souza\fb6530de,br BRA,MF,tr Beşiktaş,440,0,0,0.00,0.00,0.1,0.2,0.02,0.04
Kamal Sowah\74b7375f,gh GHA,MFDF,be Club Brugge,296,0,0,0.00,0.00,0.2,0.2,0.06,0.06
Marvin Spielmann\59fd245c,ch SUI,MF,ch Young Boys,9,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Josip Stanišić\7ed08d5c,hr CRO,DF,de Bayern Munich,23,0,1,0.00,3.91,0.0,0.2,0.00,0.64
Zack Steffen\42130443,us USA,GK,eng Manchester City,90,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Taras Stepanenko\ee3519f5,ua UKR,MF,ua Shakhtar,225,0,0,0.00,0.00,0.0,0.0,0.01,0.00
John Stones\5eecec3d,eng ENG,DF,eng Manchester City,330,0,0,0.00,0.00,0.5,0.0,0.13,0.00
Heorhii Sudakov\a793f5a8,ua UKR,MF,ua Shakhtar,57,0,0,0.00,0.00,0.1,0.4,0.15,0.62
Niklas Süle\e33c06cf,de GER,DF,de Bayern Munich,427,0,0,0.00,0.00,0.1,0.2,0.01,0.04
Miralem Sulejmani\615c4d8f,rs SRB,MF,ch Young Boys,8,0,0,0.00,0.00,0.0,0.0,0.00,0.00
Vladyslav Supriaha\73affbb6,ua UKR,FW,ua Dynamo Kyiv,81,0,0,0.00,0.00,0.0,0.0,0.00,0.03
Suso\4e219ad2,es ESP,FW,es Sevilla,225,0,0,0.00,0.00,0.3,0.5,0.11,0.18
Serhiy Sydorchuk\c71e97ba,ua UKR,MF,ua Dynamo Kyiv,535,0,0,0.00,0.00,0.1,0.0,0.02,0.00
Oleksandr Syrota\3d62c18b,ua UKR,DF,ua Dynamo Kyiv,450,0,0,0.00,0.00,0.1,0.0,0.01,0.00
